ACM.x[0],ACM.x[1],ACM.x[2],ACM.x[3],ACM.Tem,CTRL.uMs_cmd,CTRL.uTs_cmd,CTRL.iMs_cmd,CTRL.iMs,CTRL.iTs_cmd,CTRL.iTs,ob.psi_mu_al,ob.tajima.omg*RAD_PER_SEC_2_RPM,ACM.rpm
1.09415,0,0.238314,0,0,4.28183,0,1.11557,1.09405,-0,0,0.251689,-9.12833,0
1.09463,0,0.239499,0,0,4.27957,0,1.11557,1.09453,-0,0,0.252881,-9.09273,0
1.0951,0,0.240681,0,0,4.2773,0,1.11557,1.09501,-0,0,0.254068,-9.0572,0
1.09557,0,0.241857,0,0,4.27501,0,1.11557,1.09548,-0,0,0.255251,-9.02174,0
1.09603,0,0.24303,0,0,4.27271,0,1.11557,1.09594,-0,0,0.256428,-8.98634,0
1.09649,0,0.244197,0,0,4.2704,0,1.11557,1.0964,-0,0,0.257602,-8.95101,0
1.09694,0,0.24536,0,0,4.26807,0,1.11557,1.09685,-0,0,0.25877,-8.91575,0
1.09738,0,0.246519,0,0,4.26574,0,1.11557,1.09729,-0,0,0.259934,-8.88057,0
1.09782,0,0.247673,0,0,4.26339,0,1.11557,1.09773,-0,0,0.261094,-8.84545,0
1.09825,0,0.248822,0,0,4.26104,0,1.11557,1.09816,-0,0,0.262248,-8.81041,0
1.09867,0,0.249967,0,0,4.25867,0,1.11557,1.09859,-0,0,0.263399,-8.77543,0
1.09909,0,0.251108,0,0,4.25629,0,1.11557,1.09901,-0,0,0.264544,-8.74054,0
1.0995,0,0.252244,0,0,4.2539,0,1.11557,1.09942,-0,0,0.265685,-8.70571,0
1.09991,0,0.253376,0,0,4.25151,0,1.11557,1.09983,-0,0,0.266822,-8.67097,0
1.10031,0,0.254503,0,0,4.2491,0,1.11557,1.10023,-0,0,0.267954,-8.63629,0
1.10071,0,0.255625,0,0,4.24668,0,1.11557,1.10063,-0,0,0.269081,-8.6017,0
1.1011,0,0.256743,0,0,4.24426,0,1.11557,1.10102,-0,0,0.270204,-8.56718,0
1.10148,0,0.257857,0,0,4.24183,0,1.11557,1.10141,-0,0,0.271323,-8.53274,0
1.10186,0,0.258967,0,0,4.23938,0,1.11557,1.10179,-0,0,0.272437,-8.49838,0
1.10224,0,0.260071,0,0,4.23693,0,1.11557,1.10216,-0,0,0.273546,-8.4641,0
1.10261,0,0.261172,0,0,4.23448,0,1.11557,1.10253,-0,0,0.274651,-8.4299,0
1.10297,0,0.262268,0,0,4.23201,0,1.11557,1.1029,-0,0,0.275752,-8.39578,0
1.10333,0,0.26336,0,0,4.22954,0,1.11557,1.10326,-0,0,0.276848,-8.36174,0
1.10368,0,0.264447,0,0,4.22706,0,1.11557,1.10361,-0,0,0.277939,-8.32778,0
1.10403,0,0.26553,0,0,4.22458,0,1.11557,1.10396,-0,0,0.279026,-8.2939,0
1.10437,0,0.266608,0,0,4.22209,0,1.11557,1.10431,-0,0,0.280109,-8.26011,0
1.10471,0,0.267683,0,0,4.21959,0,1.11557,1.10464,-0,0,0.281188,-8.2264,0
1.10505,0,0.268752,0,0,4.21708,0,1.11557,1.10498,-0,0,0.282261,-8.19278,0
1.10537,0,0.269818,0,0,4.21457,0,1.11557,1.10531,-0,0,0.283331,-8.15924,0
1.1057,0,0.270879,0,0,4.21206,0,1.11557,1.10563,-0,0,0.284396,-8.12578,0
1.10602,0,0.271936,0,0,4.20954,0,1.11557,1.10595,-0,0,0.285457,-8.09241,0
1.10633,0,0.272989,0,0,4.20701,0,1.11557,1.10627,-0,0,0.286513,-8.05913,0
1.10664,0,0.274037,0,0,4.20448,0,1.11557,1.10658,-0,0,0.287565,-8.02593,0
1.10695,0,0.275081,0,0,4.20195,0,1.11557,1.10689,-0,0,0.288613,-7.99282,0
1.10725,0,0.276121,0,0,4.19941,0,1.11557,1.10719,-0,0,0.289657,-7.9598,0
1.10755,0,0.277156,0,0,4.19686,0,1.11557,1.10749,-0,0,0.290696,-7.92686,0
1.10784,0,0.278188,0,0,4.19431,0,1.11557,1.10778,-0,0,0.291731,-7.89401,0
1.10813,0,0.279215,0,0,4.19176,0,1.11557,1.10807,-0,0,0.292761,-7.86126,0
1.10841,0,0.280237,0,0,4.18921,0,1.11557,1.10836,-0,0,0.293787,-7.82859,0
1.10869,0,0.281256,0,0,4.18665,0,1.11557,1.10864,-0,0,0.294809,-7.79601,0
1.10897,0,0.28227,0,0,4.18409,0,1.11557,1.10891,-0,0,0.295827,-7.76352,0
1.10924,0,0.28328,0,0,4.18152,0,1.11557,1.10919,-0,0,0.296841,-7.73112,0
1.10951,0,0.284286,0,0,4.17896,0,1.11557,1.10945,-0,0,0.29785,-7.69881,0
1.10977,0,0.285288,0,0,4.17639,0,1.11557,1.10972,-0,0,0.298855,-7.66659,0
1.11003,0,0.286286,0,0,4.17381,0,1.11557,1.10998,-0,0,0.299856,-7.63446,0
1.11029,0,0.287279,0,0,4.17124,0,1.11557,1.11024,-0,0,0.300852,-7.60243,0
1.11054,0,0.288269,0,0,4.16866,0,1.11557,1.11049,-0,0,0.301845,-7.57049,0
1.11079,0,0.289254,0,0,4.16608,0,1.11557,1.11074,-0,0,0.302833,-7.53863,0
1.11103,0,0.290235,0,0,4.1635,0,1.11557,1.11098,-0,0,0.303817,-7.50688,0
1.11127,0,0.291212,0,0,4.16092,0,1.11557,1.11122,-0,0,0.304797,-7.47521,0
1.11151,0,0.292185,0,0,4.15834,0,1.11557,1.11146,-0,0,0.305773,-7.44364,0
1.11174,0,0.293154,0,0,4.15576,0,1.11557,1.1117,-0,0,0.306745,-7.41216,0
1.11197,0,0.294119,0,0,4.15317,0,1.11557,1.11193,-0,0,0.307712,-7.38077,0
1.1122,0,0.29508,0,0,4.15058,0,1.11557,1.11215,-0,0,0.308676,-7.34948,0
1.11242,0,0.296036,0,0,4.148,0,1.11557,1.11238,-0,0,0.309635,-7.31828,0
1.11264,0,0.296989,0,0,4.14541,0,1.11557,1.1126,-0,0,0.310591,-7.28718,0
1.11286,0,0.297938,0,0,4.14282,0,1.11557,1.11282,-0,0,0.311542,-7.25617,0
1.11307,0,0.298882,0,0,4.14023,0,1.11557,1.11303,-0,0,0.312489,-7.22525,0
1.11328,0,0.299823,0,0,4.13765,0,1.11557,1.11324,-0,0,0.313432,-7.19443,0
1.11349,0,0.30076,0,0,4.13506,0,1.11557,1.11345,-0,0,0.314372,-7.16371,0
1.11369,0,0.301692,0,0,4.13247,0,1.11557,1.11365,-0,0,0.315307,-7.13308,0
1.11389,0,0.302621,0,0,4.12988,0,1.11557,1.11385,-0,0,0.316238,-7.10254,0
1.11409,0,0.303546,0,0,4.1273,0,1.11557,1.11405,-0,0,0.317165,-7.07211,0
1.11428,0,0.304467,0,0,4.12471,0,1.11557,1.11424,-0,0,0.318088,-7.04176,0
1.11447,0,0.305384,0,0,4.12212,0,1.11557,1.11443,-0,0,0.319008,-7.01152,0
1.11466,0,0.306297,0,0,4.11954,0,1.11557,1.11462,-0,0,0.319923,-6.98137,0
1.11484,0,0.307206,0,0,4.11696,0,1.11557,1.11481,-0,0,0.320834,-6.95131,0
1.11503,0,0.308111,0,0,4.11437,0,1.11557,1.11499,-0,0,0.321742,-6.92135,0
1.11521,0,0.309012,0,0,4.11179,0,1.11557,1.11517,-0,0,0.322645,-6.89149,0
1.11538,0,0.30991,0,0,4.10921,0,1.11557,1.11535,-0,0,0.323545,-6.86172,0
1.11555,0,0.310803,0,0,4.10663,0,1.11557,1.11552,-0,0,0.324441,-6.83206,0
1.11573,0,0.311693,0,0,4.10406,0,1.11557,1.11569,-0,0,0.325332,-6.80248,0
1.11589,0,0.312579,0,0,4.10148,0,1.11557,1.11586,-0,0,0.32622,-6.77301,0
1.11606,0,0.313461,0,0,4.09891,0,1.11557,1.11602,-0,0,0.327105,-6.74363,0
1.11622,0,0.314339,0,0,4.09634,0,1.11557,1.11619,-0,0,0.327985,-6.71435,0
1.11638,0,0.315214,0,0,4.09377,0,1.11557,1.11635,-0,0,0.328861,-6.68517,0
